*metacsv_format_file*,,,,,,,,,
dataset_name,attribute_description,,,,,,,,
source_file_name,Name of the dataset.,,,,,,,,
project_name,"Name of the ""raw"" file used to generate this dataset.",,,,,,,,
description,Name of the project associated with this dataset.,,,,,,,,
keywords,Narrative description of the dataset.,,,,,,,,
data_source,species indentifer,,,,,,,,
r_script_source,the life stage of the biological subject,,,,,,,,
file_creation_date,Words that might be used to search for the dataset.,,,,,,,,
last_modified_date,Source of the data. Include enough information to track down the data source. Could be an instrument.,,,,,,,,
version_number,"If the data set was produced by as derived data from R code, provide R script file name, R script author and link to github respository.",,,,,,,,
version_history,Date that a file with this name was first created.,,,,,,,,
editor_name_history,Date that this file was last modified.,,,,,,,,
data_collection_start_date,Current version number for this file,,,,,,,,
data_collection_end_date,Brief narrative of file edit history,,,,,,,,
data_collection_location,Name of each person to edit the dataset with names seperated by comma. The last name on the list should be the last person to edit the file.,,,,,,,,
species,Earliest date of collection for data in the data set.,,,,,,,,
life_stage,Last data of collection for data in the data set.,,,,,,,,
data_entered_by,Collection location(s) for data in the dataset,,,,,,,,
data_contributor,Person(s) who entered the source data from hard copy,,,,,,,,
data_owner,Person(s) who were involved in generating or recording the data,,,,,,,,
institution,Principle Investigator and/or institution.,,,,,,,,
data_point_of_contact,Person(s) to contract with questions about the the data,,,,,,,,
data_POC_email,point of contact email,,,,,,,,
archive_link,Location on google drive or githup where data are archived.,,,,,,,,
how_to_cite,Directions on how to cite the dataset.,,,,,,,,
acknowledgements,Acknowledgements that need to be included in any use of the data.,,,,,,,,
related_datasets,Where they were originally sourced rather than housed,,,,,,,,
***,a related dataset (most commonly water chemistry datasets),,,,,,,,
variable_name,variable_long_name,units,description,data_type,format,missing_value_indicator,instrument,variable_min,variable_max
Date,,,,,,,,,
Species,,,,,,,,,
Tank,,,,,,,,,
temp,,,,,,,,,
salinity,,,,,,,,,
location,,,,,,,,,
sensortype,,,,,,,,,
###,,,,,,,,,
Date,Species,Tank,temp,salinity,location,sensortype,,,
6/21/19,Chum,N/A,11.9,29.78,salmonShed,wallUDA,,,
6/21/19,Chinook,1,12.3,29.77,chumHouse,wallUDA,,,
6/21/19,Chinook,2,12,30.01,chumHouse,wallUDA,,,
6/21/19,Chinook,3,12,30.01,chumHouse,wallUDA,,,
6/21/19,Chinook,4,12,30.01,chumHouse,wallUDA,,,
6/21/19,Chinook,5,12,30,chumHouse,wallUDA,,,
6/21/19,Chinook,6,12,29.98,chumHouse,wallUDA,,,
